GeneMANIA Results
Plugin Version	3.3.4 (20140731-1725)
Data Version	2014-08-12
Report Generated	Sun Dec 07 12:49:35 EST 2014

Gene	Score	Description
XRCC6	LIG1	0.004581178337817589	Co-localization	Schadt-Shoemaker-2004
7157	367	0.07156228134258626	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
7157	472	0.10847461018389527	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
BAG1	7157	0.10847461018389527	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
BCL2	841	0.13961962990724416	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
BCL2L1	841	0.20882790199926882	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
BLM	RAD50	0.5351980919096243	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
CASP9	841	0.20882790199926882	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
CDK2	11200	0.5351980919096243	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
CDKN1B	CDKN1A	0.43557021514602096	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
CREBBP	367	0.04753229558150502	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
CREBBP	672	0.016475936482157814	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
CREBBP	7157	0.02057211201569557	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
CREBBP	RELA	0.03950254499891785	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
EP300	672	0.014509732474006738	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
EP300	7157	0.018117078887966067	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
EP300	CEBPB	0.06558485423044438	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
EP300	RELA	0.03478839436590394	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
GSK3B	7157	0.10847461018389527	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
JUN	RELA	0.19752950369531486	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
KAT2B	MDM2	0.16546681069502114	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
MDM2	7157	0.08331261307791393	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAGL1	7157	0.268014155335036	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
POLQ	472	0.6129441880217171	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
PTK2B	9821	0.6992700171334266	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
STAT1	CREBBP	0.20134105348771342	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
TP63	7157	0.08157965280772525	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
TP63	CDKN1A	0.18346371646982587	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
UBE2I	367	0.48087755237495294	Genetic interactions	BIOGRID-SMALL-SCALE-STUDIES
11200	5728	4.98618123102347E-4	Genetic interactions	Lin-Smith-2010
367	580	5.723625289031205E-4	Genetic interactions	Lin-Smith-2010
580	8202	3.2890895972969046E-4	Genetic interactions	Lin-Smith-2010
672	5728	7.481104386936266E-4	Genetic interactions	Lin-Smith-2010
672	580	4.7747896687133423E-4	Genetic interactions	Lin-Smith-2010
675	11200	7.265277345026161E-4	Genetic interactions	Lin-Smith-2010
7157	5728	0.009147686184419855	Genetic interactions	Lin-Smith-2010
ABL1	472	2.466531965811855E-4	Genetic interactions	Lin-Smith-2010
ABL1	9821	3.0131721084598537E-4	Genetic interactions	Lin-Smith-2010
ABL1	ATR	4.087200335478763E-4	Genetic interactions	Lin-Smith-2010
ABL1	CHEK1	2.8812397484759E-4	Genetic interactions	Lin-Smith-2010
ABL1	FANCF	3.4865609071307635E-4	Genetic interactions	Lin-Smith-2010
ABL1	RAD52	2.653474821727911E-4	Genetic interactions	Lin-Smith-2010
AKT1	CCNG1	0.0024804818540827014	Genetic interactions	Lin-Smith-2010
AKT1	FANCA	0.0030689499703832473	Genetic interactions	Lin-Smith-2010
APAF1	580	3.9558517907583966E-4	Genetic interactions	Lin-Smith-2010
APAF1	8202	4.721066796959427E-4	Genetic interactions	Lin-Smith-2010
APAF1	BRIP1	7.264059607260103E-4	Genetic interactions	Lin-Smith-2010
APAF1	CDKN1A	5.016389962319095E-4	Genetic interactions	Lin-Smith-2010
APAF1	FANCA	8.470519948040266E-4	Genetic interactions	Lin-Smith-2010
APAF1	FANCC	3.9879784425529176E-4	Genetic interactions	Lin-Smith-2010
APAF1	FOXA1	6.224851955431553E-4	Genetic interactions	Lin-Smith-2010
APAF1	H2AFX	8.475446280789582E-4	Genetic interactions	Lin-Smith-2010
APAF1	JUN	2.720999106092187E-4	Genetic interactions	Lin-Smith-2010
APAF1	KDM1A	2.990240794306487E-4	Genetic interactions	Lin-Smith-2010
APAF1	PIK3R1	2.8846503372489474E-4	Genetic interactions	Lin-Smith-2010
APAF1	PTK2B	5.212023457305695E-4	Genetic interactions	Lin-Smith-2010
APAF1	RAD51B	3.1280617438180793E-4	Genetic interactions	Lin-Smith-2010
APAF1	RAD52	4.079081973820746E-4	Genetic interactions	Lin-Smith-2010
APAF1	RELA	7.859239983792749E-4	Genetic interactions	Lin-Smith-2010
APAF1	RRM2B	4.256067993925752E-4	Genetic interactions	Lin-Smith-2010
APAF1	SESN3	3.2783742301919453E-4	Genetic interactions	Lin-Smith-2010
APAF1	XRCC5	3.6713929956087935E-4	Genetic interactions	Lin-Smith-2010
APPL1	CAB39	0.0017407998485529804	Genetic interactions	Lin-Smith-2010
APPL1	MDM2	7.958177386276767E-4	Genetic interactions	Lin-Smith-2010
APPL1	STRADB	8.350428719771744E-4	Genetic interactions	Lin-Smith-2010
ATAD2	ABL1	5.589725560615244E-4	Genetic interactions	Lin-Smith-2010
ATAD2	ATR	9.508387231228644E-4	Genetic interactions	Lin-Smith-2010
ATAD2	RPA3	5.636541545072341E-4	Genetic interactions	Lin-Smith-2010
BAG1	ABL1	4.964579736617879E-4	Genetic interactions	Lin-Smith-2010
BAG1	CCND2	7.071737475527443E-4	Genetic interactions	Lin-Smith-2010
BAG1	CDKN2D	0.0018833962157220362	Genetic interactions	Lin-Smith-2010
BAG1	KDM1A	4.0191263549247465E-4	Genetic interactions	Lin-Smith-2010
BAG1	RAD1	0.0012495773561183128	Genetic interactions	Lin-Smith-2010
BAG1	RPS6KB1	7.215135822240967E-4	Genetic interactions	Lin-Smith-2010
BAG1	RRM2B	5.720500838964421E-4	Genetic interactions	Lin-Smith-2010
BAG1	SESN3	4.4064009187786367E-4	Genetic interactions	Lin-Smith-2010
BAG1	XRCC5	4.934649891664995E-4	Genetic interactions	Lin-Smith-2010
BAI1	RAD1	0.0025262664205856983	Genetic interactions	Lin-Smith-2010
BAX	9821	4.0663771515403235E-4	Genetic interactions	Lin-Smith-2010
BAX	BID	9.994233612514428E-4	Genetic interactions	Lin-Smith-2010
BAX	FAS	3.861926760427305E-4	Genetic interactions	Lin-Smith-2010
BAX	KDM1A	2.6250791813129906E-4	Genetic interactions	Lin-Smith-2010
BAX	MDM2	3.8738460198770513E-4	Genetic interactions	Lin-Smith-2010
BAX	PIK3R3	4.3538565560971793E-4	Genetic interactions	Lin-Smith-2010
BAX	RAD51B	2.7460697026583403E-4	Genetic interactions	Lin-Smith-2010
BAX	RBBP8	4.044136130533175E-4	Genetic interactions	Lin-Smith-2010
BAX	RPA1	6.53583923704184E-4	Genetic interactions	Lin-Smith-2010
BAX	YWHAQ	6.551950692260661E-4	Genetic interactions	Lin-Smith-2010
BBC3	CCND1	0.006441477548496098	Genetic interactions	Lin-Smith-2010
BCAP31	BBC3	0.009642276278891053	Genetic interactions	Lin-Smith-2010
BCAP31	KDM1A	8.851954051688079E-4	Genetic interactions	Lin-Smith-2010
BCL2	5290	7.339601544325296E-4	Genetic interactions	Lin-Smith-2010
BCL2	580	3.2822380916851685E-4	Genetic interactions	Lin-Smith-2010
BCL2	ABL1	3.064693558231707E-4	Genetic interactions	Lin-Smith-2010
BCL2	CCND1	9.31694197617647E-4	Genetic interactions	Lin-Smith-2010
BCL2	CHEK1	3.674996101668083E-4	Genetic interactions	Lin-Smith-2010
BCL2	CREBBP	9.627327970920137E-4	Genetic interactions	Lin-Smith-2010
BCL2	FANCF	4.447078436819444E-4	Genetic interactions	Lin-Smith-2010
BCL2	HSPA9	4.924999962692115E-4	Genetic interactions	Lin-Smith-2010
BCL2	PIDD	0.001982172088291229	Genetic interactions	Lin-Smith-2010
BCL2	PIK3CG	7.302359998329865E-4	Genetic interactions	Lin-Smith-2010
BID	9821	9.287101137503185E-4	Genetic interactions	Lin-Smith-2010
BID	CDC25C	0.0030696459335591278	Genetic interactions	Lin-Smith-2010
BLM	CCNG2	7.057305272117041E-4	Genetic interactions	Lin-Smith-2010
BLM	KDM1A	4.6641021187108134E-4	Genetic interactions	Lin-Smith-2010
BLM	MTOR	7.721663307070719E-4	Genetic interactions	Lin-Smith-2010
BLM	PPP2CA	5.352442071570005E-4	Genetic interactions	Lin-Smith-2010
BLM	SESN2	9.561781109400934E-4	Genetic interactions	Lin-Smith-2010
BLM	SESN3	5.113525482120581E-4	Genetic interactions	Lin-Smith-2010
BRIP1	ATR	8.038006129489715E-4	Genetic interactions	Lin-Smith-2010
CAB39	5290	0.001503762939867516	Genetic interactions	Lin-Smith-2010
CAB39	NFKB1	0.0011551064865362635	Genetic interactions	Lin-Smith-2010
CASP3	CDC25A	9.472052889979341E-4	Genetic interactions	Lin-Smith-2010
CASP3	H2AFX	0.001156651899272398	Genetic interactions	Lin-Smith-2010
CASP3	MAPK8	8.791514832006261E-4	Genetic interactions	Lin-Smith-2010
CASP3	PIK3R1	3.9367088475870384E-4	Genetic interactions	Lin-Smith-2010
CCNB1	6794	0.005885803037711862	Genetic interactions	Lin-Smith-2010
CCNB2	LIG4	0.002625465303740003	Genetic interactions	Lin-Smith-2010
CCNB3	472	5.022090649700915E-4	Genetic interactions	Lin-Smith-2010
CCNB3	AKT1	0.0027247992127169872	Genetic interactions	Lin-Smith-2010
CCNB3	CASP9	0.0023545750214358126	Genetic interactions	Lin-Smith-2010
CCNB3	CDKN1A	6.64418295501495E-4	Genetic interactions	Lin-Smith-2010
CCNB3	MDM4	4.1448902500796584E-4	Genetic interactions	Lin-Smith-2010
CCNB3	PERP	7.020599082410749E-4	Genetic interactions	Lin-Smith-2010
CCNB3	SIAH1	6.574138968805826E-4	Genetic interactions	Lin-Smith-2010
CCNB3	SMARCD3	0.002974569293831191	Genetic interactions	Lin-Smith-2010
CCNB3	TGFBR2	4.2641286663284734E-4	Genetic interactions	Lin-Smith-2010
CCNB3	UBE2D4	0.0015052925292650553	Genetic interactions	Lin-Smith-2010
CCND1	RPA3	7.365770049832937E-4	Genetic interactions	Lin-Smith-2010
CCND2	GADD45G	8.738638508867192E-4	Genetic interactions	Lin-Smith-2010
CCND2	PIK3R1	2.6729408247289213E-4	Genetic interactions	Lin-Smith-2010
CCND2	PPP2CA	3.1797005500178475E-4	Genetic interactions	Lin-Smith-2010
CCND2	RAD51B	2.898487846850479E-4	Genetic interactions	Lin-Smith-2010
CCND2	RBBP8	4.2686020560105006E-4	Genetic interactions	Lin-Smith-2010
CCND2	TGFB3	6.248852663551649E-4	Genetic interactions	Lin-Smith-2010
CCND2	UBE2D3	7.088859646499035E-4	Genetic interactions	Lin-Smith-2010
CCND2	UNG	5.962546493621053E-4	Genetic interactions	Lin-Smith-2010
CCND2	XRCC5	3.4019429667696564E-4	Genetic interactions	Lin-Smith-2010
CCND3	JUN	7.642103560613888E-4	Genetic interactions	Lin-Smith-2010
CCNE1	PCNA	0.0015094000042420678	Genetic interactions	Lin-Smith-2010
CCNE1	RPA3	8.724690895201268E-4	Genetic interactions	Lin-Smith-2010
CCNE2	5728	0.0024994775083439684	Genetic interactions	Lin-Smith-2010
CCNE2	HSPA9	0.002393723016009659	Genetic interactions	Lin-Smith-2010
CCNG1	ATR	7.575744434380129E-4	Genetic interactions	Lin-Smith-2010
CCNG1	JUN	3.280804101624976E-4	Genetic interactions	Lin-Smith-2010
CCNG1	MAPK8	7.767397370751365E-4	Genetic interactions	Lin-Smith-2010
CCNG1	TREX1	0.0013250666805826757	Genetic interactions	Lin-Smith-2010
CCNG2	580	3.1521910165642594E-4	Genetic interactions	Lin-Smith-2010
CCNG2	ABL1	2.943265917157664E-4	Genetic interactions	Lin-Smith-2010
CCNG2	CDKN1A	3.99727300571318E-4	Genetic interactions	Lin-Smith-2010
CCNG2	FANCF	4.270878968503777E-4	Genetic interactions	Lin-Smith-2010
CCNG2	FOXA1	4.960226670239752E-4	Genetic interactions	Lin-Smith-2010
CCNG2	MDC1	7.498921466194498E-4	Genetic interactions	Lin-Smith-2010
CCNG2	PIK3R1	2.298612059416143E-4	Genetic interactions	Lin-Smith-2010
CCNG2	POU2F1	7.393535393927147E-4	Genetic interactions	Lin-Smith-2010
CCNG2	RAD51B	2.492572895652072E-4	Genetic interactions	Lin-Smith-2010
CCNG2	RBBP8	3.6708111582625305E-4	Genetic interactions	Lin-Smith-2010
CD79A	RPS6KA1	0.0036570016691564286	Genetic interactions	Lin-Smith-2010
CD79B	FANCI	0.007899466866336479	Genetic interactions	Lin-Smith-2010
CDC25A	ABL1	4.514987590929761E-4	Genetic interactions	Lin-Smith-2010
CDC25A	MDM2	5.393934491548467E-4	Genetic interactions	Lin-Smith-2010
CDC25B	UBE2D3	0.0016528886758467398	Genetic interactions	Lin-Smith-2010
CDC37	MDM4	7.110149289273147E-4	Genetic interactions	Lin-Smith-2010
CDC37	RPA3	8.462432903406553E-4	Genetic interactions	Lin-Smith-2010
CDC37	TGFB2	7.950301978796765E-4	Genetic interactions	Lin-Smith-2010
CDK6	CASP9	0.0025007576164363227	Genetic interactions	Lin-Smith-2010
CDK6	MDM2	6.207481885488637E-4	Genetic interactions	Lin-Smith-2010
CDK6	PALB2	0.0013846551320926888	Genetic interactions	Lin-Smith-2010
CDK6	PIK3R3	6.976655033908688E-4	Genetic interactions	Lin-Smith-2010
CDKN1A	PIK3R3	4.3815190484905204E-4	Genetic interactions	Lin-Smith-2010
CDKN1B	CENPC	9.218749589217976E-4	Genetic interactions	Lin-Smith-2010
CDKN1B	FANCC	6.257740105395971E-4	Genetic interactions	Lin-Smith-2010
CDKN1B	FANCD2	0.0010865750796356895	Genetic interactions	Lin-Smith-2010
CDKN1B	SLC9A3R2	0.001875012219767352	Genetic interactions	Lin-Smith-2010
CDKN2D	11200	0.001127282464228096	Genetic interactions	Lin-Smith-2010
CDKN2D	8202	0.0011650695198215971	Genetic interactions	Lin-Smith-2010
CDKN2D	FANCA	0.002090363374769205	Genetic interactions	Lin-Smith-2010
CDKN2D	PCNA	0.001590176169853408	Genetic interactions	Lin-Smith-2010
CDKN2D	PIK3R1	7.118769052972899E-4	Genetic interactions	Lin-Smith-2010
CEBPB	FANCD2	0.0013521115353261831	Genetic interactions	Lin-Smith-2010
CENPC	675	9.344120538131108E-4	Genetic interactions	Lin-Smith-2010
CENPC	841	5.056976825815868E-4	Genetic interactions	Lin-Smith-2010
CENPC	ATAD2	8.890797710716277E-4	Genetic interactions	Lin-Smith-2010
CENPC	CEBPB	0.001147162115672217	Genetic interactions	Lin-Smith-2010
CENPC	H2AFX	8.769310072816727E-4	Genetic interactions	Lin-Smith-2010
CENPC	MDM4	3.237915931321259E-4	Genetic interactions	Lin-Smith-2010
CENPC	STEAP3	5.532303324158918E-4	Genetic interactions	Lin-Smith-2010
CENPC	WEE1	8.560386621674567E-4	Genetic interactions	Lin-Smith-2010
CHEK1	367	6.40852399539882E-4	Genetic interactions	Lin-Smith-2010
CREBBP	EP300	0.0020269811459698297	Genetic interactions	Lin-Smith-2010
CREBBP	FAS	8.98957226467392E-4	Genetic interactions	Lin-Smith-2010
CREBBP	PCNA	0.0013167542852351348	Genetic interactions	Lin-Smith-2010
CREBBP	RELA	0.0016060231115953786	Genetic interactions	Lin-Smith-2010
CREBBP	SESN3	6.699304873622993E-4	Genetic interactions	Lin-Smith-2010
CREBBP	TMF1	0.0010770416499932165	Genetic interactions	Lin-Smith-2010
CSF2RB	BRIP1	0.0021402402522163935	Genetic interactions	Lin-Smith-2010
CSF2RB	CCNG1	0.0020171561713137392	Genetic interactions	Lin-Smith-2010
CSF2RB	PLK1	0.0036174193239381434	Genetic interactions	Lin-Smith-2010
CSF2RB	POLQ	0.0012087338908139875	Genetic interactions	Lin-Smith-2010
CSTF1	580	0.0012063301938202169	Genetic interactions	Lin-Smith-2010
CSTF1	XRCC5	0.001119584937446135	Genetic interactions	Lin-Smith-2010
CYCS	BBC3	0.007272232889089161	Genetic interactions	Lin-Smith-2010
CYCS	PERP	0.0011834365919571688	Genetic interactions	Lin-Smith-2010
CYCS	RRM2B	9.502322277406247E-4	Genetic interactions	Lin-Smith-2010
DAXX	EI24	0.009811219955293878	Genetic interactions	Lin-Smith-2010
DAXX	FOXO1	0.0028964257361786326	Genetic interactions	Lin-Smith-2010
DDB2	11200	5.663515062931014E-4	Genetic interactions	Lin-Smith-2010
DDB2	5290	0.0010967496841441569	Genetic interactions	Lin-Smith-2010
DDB2	9821	5.742968661158102E-4	Genetic interactions	Lin-Smith-2010
DDB2	CASP9	0.002204079643640016	Genetic interactions	Lin-Smith-2010
DDB2	CCNG1	8.48831395159638E-4	Genetic interactions	Lin-Smith-2010
DDB2	JUN	3.3735990818580577E-4	Genetic interactions	Lin-Smith-2010
DDB2	MDM4	3.8799650367729826E-4	Genetic interactions	Lin-Smith-2010
DMC1	580	0.0010173119092556635	Genetic interactions	Lin-Smith-2010
DMC1	RPRM	8.896790140903447E-4	Genetic interactions	Lin-Smith-2010
DMC1	TP73	0.0013491599552335524	Genetic interactions	Lin-Smith-2010
DMC1	UNG	0.001654815958487639	Genetic interactions	Lin-Smith-2010
DNAJA1	472	2.797190129692671E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	ATAD2	6.339072725081243E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	CHEK1	3.267492718031736E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	CREBBP	8.559797202311896E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	EWSR1	8.182411895427138E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	FANCF	3.9539622204078155E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	JUN	2.0073180764727306E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	MDM4	2.3086097721852314E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	PIK3R1	2.1280456996403786E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	PPP2CA	2.531499627207895E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	PTK2B	3.8449806240975845E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	RBBP8	3.3984219442793293E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	RCHY1	6.976839639525632E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	RPRM	2.552155017826647E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	SFN	8.020065760051597E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	TGFBR2	2.37502279666608E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	TGFBR3	2.6788627091981875E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	TMF1	3.888204381040675E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	WEE1	6.103490904240766E-4	Genetic interactions	Lin-Smith-2010
DNAJA1	ZMAT3	3.32931977636951E-4	Genetic interactions	Lin-Smith-2010
EP300	RELA	0.0013729495536445554	Genetic interactions	Lin-Smith-2010
EP300	TREX1	0.001919817189750149	Genetic interactions	Lin-Smith-2010
ETV4	11200	6.074816377483104E-4	Genetic interactions	Lin-Smith-2010
ETV4	ATAD2	0.001142746876759527	Genetic interactions	Lin-Smith-2010
ETV4	FANCF	7.127821980566697E-4	Genetic interactions	Lin-Smith-2010
ETV4	RAD51B	4.159943519529923E-4	Genetic interactions	Lin-Smith-2010
ETV4	TGFB2	4.6535008115048955E-4	Genetic interactions	Lin-Smith-2010
ETV4	TGFB3	8.96842569125294E-4	Genetic interactions	Lin-Smith-2010
ETV4	XRCC4	0.001002839685984731	Genetic interactions	Lin-Smith-2010
EWSR1	LIG1	0.008725194604813215	Genetic interactions	Lin-Smith-2010
FADD	APAF1	0.0016560930337734293	Genetic interactions	Lin-Smith-2010
FADD	APPL1	0.002986704212199875	Genetic interactions	Lin-Smith-2010
FADD	IGFBP3	0.00208617955218347	Genetic interactions	Lin-Smith-2010
FADD	PIK3R3	0.0014464990686582975	Genetic interactions	Lin-Smith-2010
FADD	PTK2B	0.001520150776067134	Genetic interactions	Lin-Smith-2010
FADD	SESN1	0.0025334383488039877	Genetic interactions	Lin-Smith-2010
FANCA	9821	6.909983396737674E-4	Genetic interactions	Lin-Smith-2010
FANCA	PCNA	9.612561499481911E-4	Genetic interactions	Lin-Smith-2010
FANCA	RPA3	5.556289527551967E-4	Genetic interactions	Lin-Smith-2010
FANCC	ATR	4.4128759607929617E-4	Genetic interactions	Lin-Smith-2010
FANCD2	6794	8.701587502240679E-4	Genetic interactions	Lin-Smith-2010
FANCD2	ATR	7.662385124858329E-4	Genetic interactions	Lin-Smith-2010
FANCE	841	8.222415932618986E-4	Genetic interactions	Lin-Smith-2010
FANCF	672	6.469325173951003E-4	Genetic interactions	Lin-Smith-2010
FANCG	8202	0.001166449842391721	Genetic interactions	Lin-Smith-2010
FANCG	MDM2	0.001090264950334943	Genetic interactions	Lin-Smith-2010
FANCI	11200	4.883842799700139E-4	Genetic interactions	Lin-Smith-2010
FANCI	472	4.053916931702353E-4	Genetic interactions	Lin-Smith-2010
FANCI	APAF1	6.070788678504842E-4	Genetic interactions	Lin-Smith-2010
FANCI	CAB39	0.0010320055274057743	Genetic interactions	Lin-Smith-2010
FANCI	CEBPB	0.001185393675219089	Genetic interactions	Lin-Smith-2010
FANCI	CENPC	6.281276662250605E-4	Genetic interactions	Lin-Smith-2010
FANCI	DDB2	7.526796914353101E-4	Genetic interactions	Lin-Smith-2010
FANCI	PML	5.675757711863301E-4	Genetic interactions	Lin-Smith-2010
FANCI	RAD51B	3.3443826057535095E-4	Genetic interactions	Lin-Smith-2010
FANCI	TP53BP1	5.243745954660263E-4	Genetic interactions	Lin-Smith-2010
FAS	11200	3.539030768259669E-4	Genetic interactions	Lin-Smith-2010
FAS	9821	3.588679789631086E-4	Genetic interactions	Lin-Smith-2010
FAS	FANCF	4.152484793299595E-4	Genetic interactions	Lin-Smith-2010
FAS	JUN	2.1081026889112993E-4	Genetic interactions	Lin-Smith-2010
FAS	PCNA	4.992255744779603E-4	Genetic interactions	Lin-Smith-2010
FAS	PIK3R1	2.2348918045460273E-4	Genetic interactions	Lin-Smith-2010
FAS	RBBP8	3.569051597409475E-4	Genetic interactions	Lin-Smith-2010
FAS	XRCC6	6.672798803558654E-4	Genetic interactions	Lin-Smith-2010
FOXA1	472	4.1567963234139085E-4	Genetic interactions	Lin-Smith-2010
FOXA1	675	9.90056933761727E-4	Genetic interactions	Lin-Smith-2010
FOXA1	ABL1	4.0493149773942387E-4	Genetic interactions	Lin-Smith-2010
FOXA1	HSPA9	6.507298549356463E-4	Genetic interactions	Lin-Smith-2010
FOXA1	RAD52	4.47184756582007E-4	Genetic interactions	Lin-Smith-2010
FOXA1	RPS6KA1	6.904802571959284E-4	Genetic interactions	Lin-Smith-2010
FOXO1	ABL1	3.517529817984734E-4	Genetic interactions	Lin-Smith-2010
FOXO1	PIK3R1	2.7470965714025935E-4	Genetic interactions	Lin-Smith-2010
FOXO1	PIK3R3	4.7230077931604425E-4	Genetic interactions	Lin-Smith-2010
FOXO1	STRADA	5.812967155268765E-4	Genetic interactions	Lin-Smith-2010
FOXO1	XRCC5	3.496323577391135E-4	Genetic interactions	Lin-Smith-2010
GADD45A	RAD52	0.0016738619837101012	Genetic interactions	Lin-Smith-2010
GADD45B	5728	9.79290800112108E-4	Genetic interactions	Lin-Smith-2010
GADD45B	FANCD2	0.0010940954509559614	Genetic interactions	Lin-Smith-2010
GADD45B	FANCE	0.0015093012402370026	Genetic interactions	Lin-Smith-2010
GADD45B	FANCG	0.0022166166066701744	Genetic interactions	Lin-Smith-2010
GADD45B	MDC1	0.0014869160949874814	Genetic interactions	Lin-Smith-2010
GADD45B	RAD51B	4.942372669858131E-4	Genetic interactions	Lin-Smith-2010
GADD45B	UBE2I	0.0014855268058588198	Genetic interactions	Lin-Smith-2010
GADD45B	XRCC4	0.0011914603432365014	Genetic interactions	Lin-Smith-2010
GADD45G	8202	7.841213245298129E-4	Genetic interactions	Lin-Smith-2010
GADD45G	8493	0.0030477588278918916	Genetic interactions	Lin-Smith-2010
GADD45G	APAF1	9.430779689171E-4	Genetic interactions	Lin-Smith-2010
GADD45G	CDKN1A	8.331714984659782E-4	Genetic interactions	Lin-Smith-2010
GADD45G	RRM2	0.0014926987340771092	Genetic interactions	Lin-Smith-2010
GSK3B	APPL1	0.0017910807485789675	Genetic interactions	Lin-Smith-2010
GSK3B	CHEK1	7.74693779394773E-4	Genetic interactions	Lin-Smith-2010
GSK3B	JUN	4.759174670742947E-4	Genetic interactions	Lin-Smith-2010
GSK3B	KDM1A	5.230092721022789E-4	Genetic interactions	Lin-Smith-2010
GSK3B	PPP2CA	6.001962430061777E-4	Genetic interactions	Lin-Smith-2010
GSK3B	RPRM	6.050935003708249E-4	Genetic interactions	Lin-Smith-2010
GSK3B	STRADA	0.00106762893923811	Genetic interactions	Lin-Smith-2010
GSK3B	TGFB2	6.120274192044109E-4	Genetic interactions	Lin-Smith-2010
H2AFX	11200	6.818347805709581E-4	Genetic interactions	Lin-Smith-2010
H2AFX	RBBP8	6.876186064109805E-4	Genetic interactions	Lin-Smith-2010
HSPA1L	CAB39	0.005123008408940704	Genetic interactions	Lin-Smith-2010
HSPA1L	RAD17	0.013808653106379756	Genetic interactions	Lin-Smith-2010
HSPA9	472	3.963746977411642E-4	Genetic interactions	Lin-Smith-2010
HSPA9	RAD52	4.2641662467576374E-4	Genetic interactions	Lin-Smith-2010
HSPA9	TP73	5.484297292778306E-4	Genetic interactions	Lin-Smith-2010
HUS1	472	5.872478072419661E-4	Genetic interactions	Lin-Smith-2010
IGF1	580	5.270970668019136E-4	Genetic interactions	Lin-Smith-2010
IGF1	ABL1	4.921614427538509E-4	Genetic interactions	Lin-Smith-2010
IGF1	EP300	0.0013216883977925935	Genetic interactions	Lin-Smith-2010
IGF1	FANCC	5.313777084406777E-4	Genetic interactions	Lin-Smith-2010
IGF1	KDM1A	3.9843430305106626E-4	Genetic interactions	Lin-Smith-2010
IGF1	MDC1	0.0012539402461524834	Genetic interactions	Lin-Smith-2010
IGF1	MDM4	4.169781680301509E-4	Genetic interactions	Lin-Smith-2010
IGF1	PALB2	0.0013115437916968796	Genetic interactions	Lin-Smith-2010
IGF1	RAD52	5.435168134010319E-4	Genetic interactions	Lin-Smith-2010
IGF1	RCHY1	0.0012601478737445484	Genetic interactions	Lin-Smith-2010
IGF1	SESN3	4.36826601345835E-4	Genetic interactions	Lin-Smith-2010
IGF1	TP53AIP1	0.0018180823528636482	Genetic interactions	Lin-Smith-2010
IGF1	XRCC5	4.891943030449348E-4	Genetic interactions	Lin-Smith-2010
IGFBP3	675	0.0011376340923370972	Genetic interactions	Lin-Smith-2010
IGFBP3	PIK3R1	3.6337927872718705E-4	Genetic interactions	Lin-Smith-2010
IGFBP3	RAD51B	3.940418101876071E-4	Genetic interactions	Lin-Smith-2010
IGFBP3	RPRM	4.3579900736522963E-4	Genetic interactions	Lin-Smith-2010
IGFBP3	XRCC5	4.6248519976724506E-4	Genetic interactions	Lin-Smith-2010
